date,state,city,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-12-29,AP,Amapá,956,6,9109.0,10406.00849,0.0063
2020-12-29,AP,Calçoene,1436,7,11117.0,12701.22059,0.0049
2020-12-29,AP,Cutias,741,2,5983.0,12145.54991,0.0027
2020-12-29,AP,Ferreira Gomes,930,5,7780.0,11673.15175,0.0054
2020-12-29,AP,Itaubal,345,0,5503.0,6142.06872,0.0
2020-12-29,AP,Laranjal do Jari,5217,49,50410.0,10157.31475,0.0094
2020-12-29,AP,Macapá,27920,669,503327.0,5443.53502,0.024
2020-12-29,AP,Mazagão,1882,8,21632.0,8533.98631,0.0043
2020-12-29,AP,Oiapoque,3333,27,27270.0,11943.66803,0.0081
2020-12-29,AP,Pedra Branca do Amapari,2949,6,16502.0,17278.9594,0.002
2020-12-29,AP,Porto Grande,1479,16,21971.0,6587.386420000002,0.0108
2020-12-29,AP,Pracuúba,351,6,5120.0,6690.81205,0.0171
2020-12-29,AP,Santana,14338,90,121364.0,11647.81959,0.0063
2020-12-29,AP,Serra do Navio,793,4,5397.0,14449.70845,0.005
2020-12-29,AP,Tartarugalzinho,1595,4,17315.0,8976.30705,0.0025
2020-12-29,AP,Vitória do Jari,3140,14,15931.0,19318.32164,0.0045
2020-12-29,AC,Acrelândia,557,12,15256.0,3595.8683,0.0215
2020-12-29,AC,Assis Brasil,761,9,7417.0,10100.87603,0.0118
2020-12-29,AC,Brasiléia,1285,21,26278.0,4812.3736,0.0163
2020-12-29,AC,Bujari,491,8,10266.0,4712.09213,0.0163
2020-12-29,AC,Capixaba,304,8,11733.0,2531.64557,0.0263
2020-12-29,AC,Cruzeiro do Sul,4100,71,88376.0,4603.01778,0.0173
2020-12-29,AC,Epitaciolândia,598,16,18411.0,3198.54514,0.0268
2020-12-29,AC,Feijó,1607,25,34780.0,4606.69648,0.0156
2020-12-29,AC,Jordão,262,1,8317.0,3092.17514,0.0038
2020-12-29,AC,Manoel Urbano,472,3,9459.0,4926.41687,0.0064
2020-12-29,AC,Marechal Thaumaturgo,700,6,18867.0,3627.13094,0.0086
2020-12-29,AC,Mâncio Lima,1333,15,18977.0,6902.801509999998,0.0113
2020-12-29,AC,Plácido de Castro,523,9,19761.0,2620.89702,0.0172
2020-12-29,AC,Porto Acre,672,18,18504.0,3569.91075,0.0268
2020-12-29,AC,Porto Walter,327,2,11982.0,2671.35038,0.0061
2020-12-29,AC,Rio Branco,18726,500,407319.0,4529.55604,0.0267
2020-12-29,AC,Rodrigues Alves,240,7,18930.0,1240.24598,0.0292
